drug_name,drug_page,name,content
Ivermectin,https://en.wikipedia.org/wiki/Ivermectin,Ivermectin,"Ivermectin is an antiparasitic drug. After its discovery in 1975, its first uses were in veterinary medicine to prevent and treat heartworm and acariasis. Approved for human use in 1987, today it is used to treat infestations including head lice, scabies, river blindness (onchocerciasis), strongyloidiasis, trichuriasis, ascariasis and lymphatic filariasis. It works through many mechanisms to kill the targeted parasites, and can be taken by mouth, or applied to the skin for external infestations. It belongs to the avermectin family of medications.William Campbell and Satoshi Ōmura won the 2015 Nobel Prize in Physiology or Medicine for its discovery and applications. It is on the World Health Organization's List of Essential Medicines, and is approved by the U.S. Food and Drug Administration as an antiparasitic agent. In 2020, it was the 423rd most commonly prescribed medication in the United States, with more than 100,000 prescriptions. It is available as a generic medicine.During the COVID-19 pandemic, misinformation has been widely spread claiming that ivermectin is beneficial for treating and preventing COVID-19. Such claims are not backed by credible scientific evidence. Multiple major health organizations, including the U.S. Food and Drug Administration, the U.S. Centers for Disease Control and Prevention, the European Medicines Agency, and the World Health Organization have stated that ivermectin is not authorized or approved to treat COVID-19."
Levamisole,https://en.wikipedia.org/wiki/Levamisole,Levamisole,"Levamisole, sold under the brand name Ergamisol among others, is a medication used to treat parasitic worm infections, specifically ascariasis and hookworm infections. It is taken by mouth.Side effects may include abdominal pain, vomiting, headache, and dizziness. Use is not recommended during breastfeeding or the third trimester of pregnancy. Serious side effects may include an increased risk of infection. It belongs to the anthelmintic class of medications.Levamisole was invented in 1966 in Belgium by Janssen Pharmaceuticals. It is on the World Health Organization's List of Essential Medicines. Levamisole is also used as a dewormer for cattle."
Mebendazole,https://en.wikipedia.org/wiki/Mebendazole,Mebendazole,"Mebendazole (MBZ), sold under the brand name Vermox among others, is a medication used to treat a number of parasitic worm infestations. This includes ascariasis, pinworm infection, hookworm infections, guinea worm infections, hydatid disease, and giardia, among others. It is taken by mouth.Mebendazole is usually well tolerated. Common side effects include headache, vomiting, and ringing in the ears. If used at large doses it may cause bone marrow suppression. It is unclear if it is safe in pregnancy. Mebendazole is a broad-spectrum antihelminthic agent of the benzimidazole type.Mebendazole came into use in 1971, after it was developed by Janssen Pharmaceutica in Belgium. It is on the World Health Organization's List of Essential Medicines. Mebendazole is available as a generic medication."
Niclosamide,https://en.wikipedia.org/wiki/Niclosamide,Niclosamide,"Niclosamide, sold under the brand name Niclocide among others, is an anthelmintic medication used to treat tapeworm infestations, including diphyllobothriasis, hymenolepiasis, and taeniasis. It is not effective against other worms such as flukes or roundworms. It is taken by mouth.Side effects include nausea, vomiting, abdominal pain, and itchiness. It may be used during pregnancy. It works by blocking glucose uptake and oxidative phosphorylation by the worm.Niclosamide was first synthesized in 1958. It is on the World Health Organization's List of Essential Medicines. Niclosamide is not available for human use in the United States."
Praziquantel,https://en.wikipedia.org/wiki/Praziquantel,Praziquantel,"Praziquantel (PZQ), sold under the brandname Biltricide among others, is a medication used to treat a number of types of parasitic worm infections in mammals, birds, amphibians, reptiles, and fish. In humans specifically, it is used to treat schistosomiasis, clonorchiasis, opisthorchiasis, tapeworm infections, cysticercosis, echinococcosis, paragonimiasis, fasciolopsiasis, and fasciolosis. It should not be used for worm infections of the eye. It is taken by mouth.Side effects in humans may include poor coordination, abdominal pain, vomiting, headache, and allergic reactions. While it may be used during pregnancy, it is not recommended for use during breastfeeding. Praziquantel is in the anthelmintic class of medications. It works partly by affecting the function of the worm's sucker.Praziquantel was approved for medical use in the United States in 1982. It is on the World Health Organization's List of Essential Medicines."
Pyrantel,https://en.wikipedia.org/wiki/Pyrantel,Pyrantel,"Pyrantel is a medication used to treat a number of parasitic worm infections. This includes ascariasis, hookworm infections, enterobiasis (pinworm infection), trichostrongyliasis, and trichinellosis. It is taken by mouth.Side effects include nausea, headache, dizziness, trouble sleeping, and rash. A lower dose should be used in people with liver disease. While it does not appear to be harmful during pregnancy, it has not been studied for this use. It is unclear if it is safe for use during breastfeeding. It is in the antihelmintic family of medications. It works by paralyzing worms.Pyrantel was initially described in 1965. It is on the World Health Organization's List of Essential Medicines. Pyrantel is available as a generic medication. It may also be used to treat worms in a number of other animals."
Albendazole,https://en.wikipedia.org/wiki/Albendazole,Albendazole,"Albendazole is a broad-spectrum anthelmintic and antiprotozoal agent of the benzimidazole type. It is used for the treatment of a variety of intestinal parasite infections, including ascariasis, pinworm infection, hookworm infection, trichuriasis, strongyloidiasis, taeniasis, clonorchiasis, opisthorchiasis, cutaneous larva migrans, giardiasis, and gnathostomiasis, among other diseases.Common side effects include nausea, abdominal pain, and headache. Rare but potentially serious side effects include bone marrow suppression which usually improves on discontinuing the medication. Liver inflammation has been reported and those with prior liver problems are at greater risk. It is pregnancy category D in Australia, meaning it may cause harm if taken by pregnant women.Albendazole was developed in 1975. It is on the World Health Organization's List of Essential Medicines."
Diethylcarbamazine,https://en.wikipedia.org/wiki/Diethylcarbamazine,Diethylcarbamazine,"Diethylcarbamazine is a medication used in the treatment of filariasis including lymphatic filariasis, tropical pulmonary eosinophilia, and loiasis. It may also be used for prevention of loiasis in those at high risk. While it has been used for onchocerciasis (river blindness), ivermectin is preferred. It is taken by mouth.Common side effects include itching, facial swelling, headaches, and feeling tired. Other side effects include vision loss and dizziness. It is a recommended treatment in pregnancy and appears to be safe for the baby. The World Health Organization; however, recommends waiting until after pregnancy for treatment when feasible. It is made from 4-methyl-piperazine.Diethylcarbamazine was discovered in 1947 by Yellapragada Subbarow. It is on the World Health Organization's List of Essential Medicines. It is not commercially available in the United States but can be acquired from the Centers for Disease Control and Prevention."
Ivermectin,https://en.wikipedia.org/wiki/Ivermectin,Ivermectin,"Ivermectin is an antiparasitic drug. After its discovery in 1975, its first uses were in veterinary medicine to prevent and treat heartworm and acariasis. Approved for human use in 1987, today it is used to treat infestations including head lice, scabies, river blindness (onchocerciasis), strongyloidiasis, trichuriasis, ascariasis and lymphatic filariasis. It works through many mechanisms to kill the targeted parasites, and can be taken by mouth, or applied to the skin for external infestations. It belongs to the avermectin family of medications.William Campbell and Satoshi Ōmura won the 2015 Nobel Prize in Physiology or Medicine for its discovery and applications. It is on the World Health Organization's List of Essential Medicines, and is approved by the U.S. Food and Drug Administration as an antiparasitic agent. In 2020, it was the 423rd most commonly prescribed medication in the United States, with more than 100,000 prescriptions. It is available as a generic medicine.During the COVID-19 pandemic, misinformation has been widely spread claiming that ivermectin is beneficial for treating and preventing COVID-19. Such claims are not backed by credible scientific evidence. Multiple major health organizations, including the U.S. Food and Drug Administration, the U.S. Centers for Disease Control and Prevention, the European Medicines Agency, and the World Health Organization have stated that ivermectin is not authorized or approved to treat COVID-19."
Praziquantel,https://en.wikipedia.org/wiki/Praziquantel,Praziquantel,"Praziquantel (PZQ), sold under the brandname Biltricide among others, is a medication used to treat a number of types of parasitic worm infections in mammals, birds, amphibians, reptiles, and fish. In humans specifically, it is used to treat schistosomiasis, clonorchiasis, opisthorchiasis, tapeworm infections, cysticercosis, echinococcosis, paragonimiasis, fasciolopsiasis, and fasciolosis. It should not be used for worm infections of the eye. It is taken by mouth.Side effects in humans may include poor coordination, abdominal pain, vomiting, headache, and allergic reactions. While it may be used during pregnancy, it is not recommended for use during breastfeeding. Praziquantel is in the anthelmintic class of medications. It works partly by affecting the function of the worm's sucker.Praziquantel was approved for medical use in the United States in 1982. It is on the World Health Organization's List of Essential Medicines."
Triclabendazole,https://en.wikipedia.org/wiki/Triclabendazole,Triclabendazole,"Triclabendazole, sold under the brand name Egaten among others, is a medication used to treat fascioliasis and paragonimiasis. It is very effective for both conditions. Treatment in hospital may be required. It is taken by mouth with typically one or two doses being required.Side effects are generally few, but can include abdominal pain and headaches. Biliary colic may occur due to dying worms. While no harm has been found with use during pregnancy, triclabendazole has not been studied well in this population. It is a member of the benzimidazole family of medications for worms.Triclabendazole was approved for medical use in the United States in 2019. It is on the World Health Organization's List of Essential Medicines. For human use, it can be obtained from the World Health Organization. It is also used in animals."
Oxamniquine,https://en.wikipedia.org/wiki/Oxamniquine,Oxamniquine,"Oxamniquine, sold under the brand name Vansil among others, is a medication used to treat schistosomiasis due to Schistosoma mansoni. Praziquantel, however, is often the preferred treatment. It is given by mouth and used as a single dose.Common side effects include sleepiness, headache, nausea, diarrhea, and reddish urine. It is typically not recommended during pregnancy, if possible. Seizures may occur and therefore caution is recommended in people with epilepsy. It works by causing paralysis of the parasitic worms. It is in the anthelmintic family of medications.Oxamniquine was first used medically in 1972. It is on the World Health Organization's List of Essential Medicines. It is not commercially available in the United States. It is more expensive than praziquantel."
Albendazole,https://en.wikipedia.org/wiki/Albendazole,Albendazole,"Albendazole is a broad-spectrum anthelmintic and antiprotozoal agent of the benzimidazole type. It is used for the treatment of a variety of intestinal parasite infections, including ascariasis, pinworm infection, hookworm infection, trichuriasis, strongyloidiasis, taeniasis, clonorchiasis, opisthorchiasis, cutaneous larva migrans, giardiasis, and gnathostomiasis, among other diseases.Common side effects include nausea, abdominal pain, and headache. Rare but potentially serious side effects include bone marrow suppression which usually improves on discontinuing the medication. Liver inflammation has been reported and those with prior liver problems are at greater risk. It is pregnancy category D in Australia, meaning it may cause harm if taken by pregnant women.Albendazole was developed in 1975. It is on the World Health Organization's List of Essential Medicines."
Mebendazole,https://en.wikipedia.org/wiki/Mebendazole,Mebendazole,"Mebendazole (MBZ), sold under the brand name Vermox among others, is a medication used to treat a number of parasitic worm infestations. This includes ascariasis, pinworm infection, hookworm infections, guinea worm infections, hydatid disease, and giardia, among others. It is taken by mouth.Mebendazole is usually well tolerated. Common side effects include headache, vomiting, and ringing in the ears. If used at large doses it may cause bone marrow suppression. It is unclear if it is safe in pregnancy. Mebendazole is a broad-spectrum antihelminthic agent of the benzimidazole type.Mebendazole came into use in 1971, after it was developed by Janssen Pharmaceutica in Belgium. It is on the World Health Organization's List of Essential Medicines. Mebendazole is available as a generic medication."
Praziquantel,https://en.wikipedia.org/wiki/Praziquantel,Praziquantel,"Praziquantel (PZQ), sold under the brandname Biltricide among others, is a medication used to treat a number of types of parasitic worm infections in mammals, birds, amphibians, reptiles, and fish. In humans specifically, it is used to treat schistosomiasis, clonorchiasis, opisthorchiasis, tapeworm infections, cysticercosis, echinococcosis, paragonimiasis, fasciolopsiasis, and fasciolosis. It should not be used for worm infections of the eye. It is taken by mouth.Side effects in humans may include poor coordination, abdominal pain, vomiting, headache, and allergic reactions. While it may be used during pregnancy, it is not recommended for use during breastfeeding. Praziquantel is in the anthelmintic class of medications. It works partly by affecting the function of the worm's sucker.Praziquantel was approved for medical use in the United States in 1982. It is on the World Health Organization's List of Essential Medicines."
Amikacin,https://en.wikipedia.org/wiki/Amikacin,Amikacin,"Amikacin is an antibiotic medication used for a number of bacterial infections. This includes joint infections, intra-abdominal infections, meningitis, pneumonia, sepsis, and urinary tract infections. It is also used for the treatment of multidrug-resistant tuberculosis. It is used by injection into a vein using an IV or into a muscle.Amikacin, like other aminoglycoside antibiotics, can cause hearing loss, balance problems, and kidney problems. Other side effects include paralysis, resulting in the inability to breathe. If used during pregnancy it may cause permanent deafness in the baby. Amikacin works by blocking the function of the bacteria's 30S ribosomal subunit, making it unable to produce proteins.Amikacin was patented in 1971, and came into commercial use in 1976. It is on the World Health Organization's List of Essential Medicines. It is derived from kanamycin."
Amoxicillin,https://en.wikipedia.org/wiki/Amoxicillin,Amoxicillin,"Amoxicillin is an antibiotic medication belonging to the aminopenicillin class of the penicillin family. The drug is used to treat bacterial infections such as middle ear infection, strep throat, pneumonia, skin infections, odontogenic infections, and urinary tract infections. It is taken by mouth, or less commonly by injection.Common adverse effects include nausea and rash. It may also increase the risk of yeast infections and, when used in combination with clavulanic acid, diarrhea. It should not be used in those who are allergic to penicillin. While usable in those with kidney problems, the dose may need to be decreased. Its use in pregnancy and breastfeeding does not appear to be harmful. Amoxicillin is in the β-lactam family of antibiotics.Amoxicillin was discovered in 1958 and came into medical use in 1972. Amoxil was approved for medical use in the United States in 1974, and in the United Kingdom in 1977. It is on the (WHO) World Health Organization's List of Essential Medicines. It is one of the most commonly prescribed antibiotics in children. Amoxicillin is available as a generic medication.  In 2020, it was the 40th most commonly prescribed medication in the United States, with more than 15 million prescriptions."
Amoxicillin/clavulanic acid,https://en.wikipedia.org/wiki/Amoxicillin/clavulanic_acid,Amoxicillin/clavulanic_acid,"Amoxicillin/clavulanic acid, also known as co-amoxiclav or amox-clav, sold under the brand name Augmentin, among others, is an antibiotic medication used for the treatment of a number of bacterial infections. It is a combination consisting of amoxicillin, a β-lactam antibiotic, and potassium clavulanate, a β-lactamase inhibitor. It is specifically used for otitis media, streptococcal pharyngitis, pneumonia, cellulitis, urinary tract infections, and animal bites. It is taken by mouth or by injection into a vein.Common side effects include diarrhea, vomiting, and allergic reactions. It also increases the risk of yeast infections, headaches, and blood clotting problems. It is not recommended in people with a history of a penicillin allergy. It is relatively safe for use during pregnancy.Amoxicillin/clavulanic acid was approved for medical use in the United States in 1984. It is on the World Health Organization's List of Essential Medicines. The World Health Organization classifies amoxicillin/clavulanic-acid as critically important for human medicine. It is available as a generic medication. In 2020, it was the 107th most commonly prescribed medication in the United States, with more than 6 million prescriptions."
amoxicillin,https://en.wikipedia.org/wiki/Amoxicillin,Amoxicillin,"Amoxicillin is an antibiotic medication belonging to the aminopenicillin class of the penicillin family. The drug is used to treat bacterial infections such as middle ear infection, strep throat, pneumonia, skin infections, odontogenic infections, and urinary tract infections. It is taken by mouth, or less commonly by injection.Common adverse effects include nausea and rash. It may also increase the risk of yeast infections and, when used in combination with clavulanic acid, diarrhea. It should not be used in those who are allergic to penicillin. While usable in those with kidney problems, the dose may need to be decreased. Its use in pregnancy and breastfeeding does not appear to be harmful. Amoxicillin is in the β-lactam family of antibiotics.Amoxicillin was discovered in 1958 and came into medical use in 1972. Amoxil was approved for medical use in the United States in 1974, and in the United Kingdom in 1977. It is on the (WHO) World Health Organization's List of Essential Medicines. It is one of the most commonly prescribed antibiotics in children. Amoxicillin is available as a generic medication.  In 2020, it was the 40th most commonly prescribed medication in the United States, with more than 15 million prescriptions."
clavulanic acid,https://en.wikipedia.org/wiki/Clavulanic_acid,Clavulanic_acid,"Clavulanic acid is a β-lactam drug that functions as a mechanism-based β-lactamase inhibitor.  While not effective by itself as an antibiotic, when combined with penicillin-group antibiotics, it can overcome antibiotic resistance in bacteria that secrete β-lactamase, which otherwise inactivates most penicillins.
In its most common preparations, potassium clavulanate (clavulanic acid as a salt of potassium) is combined with:

amoxicillin (co-amoxiclav, trade names Augmentin, Clavulin, Tyclav, Clavaseptin (veterinary), Clavamox (veterinary), Synulox (veterinary), and others)
ticarcillin (co-ticarclav, trade name Timentin)Clavulanic acid was patented in 1974."
Ampicillin,https://en.wikipedia.org/wiki/Ampicillin,Ampicillin,"Ampicillin is an antibiotic belonging to the aminopenicillin class of the penicillin family. The drug is used to prevent and treat a number of bacterial infections, such as respiratory tract infections, urinary tract infections, meningitis, salmonellosis, and endocarditis. It may also be used to prevent group B streptococcal infection in newborns. It is used by mouth, by injection into a muscle, or intravenously.Common side effects include rash, nausea, and diarrhea. It should not be used in people who are allergic to penicillin. Serious side effects may include Clostridium difficile colitis or anaphylaxis. While usable in those with kidney problems, the dose may need to be decreased. Its use during pregnancy and breastfeeding appears to be generally safe.Ampicillin was discovered in 1958 and came into commercial use in 1961. It is on the World Health Organization's List of Essential Medicines. The World Health Organization classifies ampicillin as critically important for human medicine. It is available as a generic medication."
Benzathine benzylpenicillin,https://en.wikipedia.org/wiki/Benzathine_benzylpenicillin,Benzathine_benzylpenicillin,"Benzathine benzylpenicillin, also known as benzathine penicillin G, is an antibiotic medication useful for the treatment of a number of bacterial infections. Specifically it is used to treat strep throat, diphtheria, syphilis, and yaws. It is also used to prevent rheumatic fever. It is given by injection into a muscle.Side effects include allergic reactions including anaphylaxis, and pain at the site of injection. When used to treat syphilis a reaction known as Jarisch-Herxheimer may occur. It is not recommended in those with a history of penicillin allergy or those with syphilis involving the nervous system. Use during pregnancy is generally safe. It is in the penicillin and beta lactam class of medications and works via benzylpenicillin. The benzathine component slowly releases the penicillin making the combination long acting.Benzathine benzylpenicillin was patented in 1950. It is on the World Health Organization's List of Essential Medicines."
Benzylpenicillin,https://en.wikipedia.org/wiki/Benzylpenicillin,Benzylpenicillin,"Benzylpenicillin, also known as penicillin G (PenG) or BENPEN, and in US military slang ""Peanut Butter Shot"" is an antibiotic used to treat a number of bacterial infections. This includes pneumonia, strep throat, syphilis, necrotizing enterocolitis, diphtheria, gas gangrene, leptospirosis, cellulitis, and tetanus. It is not a first-line agent for pneumococcal meningitis. Due to benzylpenicillin's limited bioavailability for oral medications, it is generally taken as an injection in the form of a sodium, potassium, benzathine, or procaine salt. Benzylpenicillin is given by injection into a vein or muscle. Two long-acting forms benzathine benzylpenicillin and procaine benzylpenicillin are available for use by injection into a muscle only.Side effects include diarrhea, seizures, and allergic reactions including anaphylaxis. When used to treat syphilis or Lyme disease a reaction known as Jarisch–Herxheimer may occur. It is not recommended in those with a history of penicillin allergy. Use during pregnancy is generally safe in the penicillin and β-lactam class of medications.Benzylpenicillin is on the World Health Organization's List of Essential Medicines."
Cefalexin,https://en.wikipedia.org/wiki/Cefalexin,Cefalexin,"Cefalexin, also spelled cephalexin, is an antibiotic that can treat a number of bacterial infections. It kills gram-positive and some gram-negative bacteria by disrupting the growth of the bacterial cell wall. Cefalexin is a β-lactam antibiotic within the class of first-generation cephalosporins. It works similarly to other agents within this class, including intravenous cefazolin, but can be taken by mouth.Cefalexin can treat certain bacterial infections, including those of the middle ear, bone and joint, skin, and urinary tract. It may also be used for certain types of pneumonia and strep throat and to prevent bacterial endocarditis. Cefalexin is not effective against infections caused by methicillin-resistant Staphylococcus aureus (MRSA), most Enterococcus, or Pseudomonas. Like other antibiotics, cefalexin cannot treat viral infections, such as the flu, common cold or acute bronchitis. Cefalexin can be used in those who have mild or moderate allergies to penicillin. However, it is not recommended in those with severe penicillin allergies.Common side effects include stomach upset and diarrhea. Allergic reactions or infections with Clostridium difficile, a cause of diarrhea, are also possible. Use during pregnancy or breast feeding does not appear to be harmful to the fetus. It can be used in children and those over 65 years of age. Those with kidney problems may require a decrease in dose.Cefalexin was developed in 1967. It was first marketed in 1969 and 1970 under the names Keflex and Ceporex, among others. Generic drug versions are available under other trade names and are inexpensive. It is on the World Health Organization's List of Essential Medicines. In 2020, it was the 101st most commonly prescribed medication in the United States, with more than 7 million prescriptions. In Canada, it was the fifth most common antibiotic used in 2013. In Australia, it is one of the top 15 most prescribed medications."
Cefazolin,https://en.wikipedia.org/wiki/Cefazolin,Cefazolin,"Cefazolin, also known as cefazoline and cephazolin, is a first-generation cephalosporin antibiotic used for the treatment of a number of bacterial infections. Specifically it is used to treat cellulitis, urinary tract infections, pneumonia, endocarditis, joint infection, and biliary tract infections. It is also used to prevent group B streptococcal disease around the time of delivery and before surgery. It is typically given by injection into a muscle or vein.Common side effects include diarrhea, vomiting, yeast infections, and allergic reactions. Historically, it was thought to be contraindicated in patients with allergies to penicillin, although several recent studies have refuted this and it is proven to be safe in almost all patients, including those with known penicillin allergies. It is relatively safe for use during pregnancy and breastfeeding. Cefazolin is in the first-generation cephalosporin class of medication and works by interfering with the bacteria's cell wall.Cefazolin was patented in 1967 and came into commercial use in 1971. It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication."
Chloramphenicol,https://en.wikipedia.org/wiki/Chloramphenicol,Chloramphenicol,"Chloramphenicol is an antibiotic useful for the treatment of a number of bacterial infections. This includes use as an eye ointment to treat conjunctivitis. By mouth or by injection into a vein, it is used to treat meningitis, plague, cholera, and typhoid fever. Its use by mouth or by injection is only recommended when safer antibiotics cannot be used. Monitoring both blood levels of the medication and blood cell levels every two days is recommended during treatment.Common side effects include bone marrow suppression, nausea, and diarrhea. The bone marrow suppression may result in death. To reduce the risk of side effects treatment duration should be as short as possible. People with liver or kidney problems may need lower doses. In young children a condition known as gray baby syndrome may occur which results in a swollen stomach and low blood pressure. Its use near the end of pregnancy and during breastfeeding is typically not recommended. Chloramphenicol is a broad-spectrum antibiotic that typically stops bacterial growth by stopping the production of proteins.Chloramphenicol was discovered after being isolated from Streptomyces venezuelae in 1947. Its chemical structure was identified and it was first synthesized in 1949. It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication."
Clindamycin,https://en.wikipedia.org/wiki/Clindamycin,Clindamycin,"Clindamycin is an antibiotic medication used for the treatment of a number of bacterial infections, including osteomyelitis (bone) or joint infections, pelvic inflammatory disease, strep throat, pneumonia, acute otitis media (middle ear infections), and endocarditis. It can also be used to treat acne, and some cases of methicillin-resistant Staphylococcus aureus (MRSA). In combination with quinine, it can be used to treat malaria. It is available by mouth, by injection into a vein, and as a cream or a gel to be applied to the skin or in the vagina.Common side effects include nausea and vomiting, diarrhea, rashes, and pain at the site of injection. It increases the risk of hospital-acquired Clostridium difficile colitis about fourfold and thus is only recommended when other antibiotics are not appropriate. Alternative antibiotics may be recommended as a result. It appears to be generally safe in pregnancy. It is of the lincosamide class and works by blocking bacteria from making protein.Clindamycin was first made in 1966 from lincomycin. It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication. In 2020, it was the 125th most commonly prescribed medication in the United States, with more than 5 million prescriptions."
Cloxacillin,https://en.wikipedia.org/wiki/Cloxacillin,Cloxacillin,"Cloxacillin is an antibiotic useful for the treatment of a number of bacterial infections. This includes impetigo, cellulitis, pneumonia, septic arthritis, and otitis externa. It is not effective for methicillin-resistant Staphylococcus aureus (MRSA). It can be used by mouth and by injection.Side effects include nausea, diarrhea, and allergic reactions including anaphylaxis. Clostridium difficile diarrhea may also occur. It is not recommended in people who have previously had a penicillin allergy. Use during pregnancy appears to be relatively safe. Cloxacillin is in the penicillin family of medications.Cloxacillin was patented in 1960 and approved for medical use in 1965. It is on the World Health Organization's List of Essential Medicines. It is not commercially available in the United States."
Doxycycline,https://en.wikipedia.org/wiki/Doxycycline,Doxycycline,"Doxycycline is a broad-spectrum antibiotic of the tetracycline class used in the treatment of infections caused by bacteria and certain parasites. It is used to treat bacterial pneumonia, acne, chlamydia infections, Lyme disease, cholera, typhus, and syphilis. It is also used to prevent malaria in combination with quinine. Doxycycline may be taken by mouth or by injection into a vein.Common side effects include diarrhea, nausea, vomiting, abdominal pain, and an increased risk of sunburn. Use during pregnancy is not recommended. Like other agents of the tetracycline class, it either slows or kills bacteria by inhibiting protein production. It kills malaria by targeting a plastid organelle, the apicoplast.Doxycycline was patented in 1957 and came into commercial use in 1967. It is on the World Health Organization's List of Essential Medicines. Doxycycline is available as a generic medicine. In 2020, it was the 79th most commonly prescribed medication in the United States, with more than 9 million prescriptions."
Gentamicin,https://en.wikipedia.org/wiki/Gentamicin,Gentamicin,"Gentamicin is an antibiotic used to treat several types of bacterial infections. This may include bone infections, endocarditis, pelvic inflammatory disease, meningitis, pneumonia, urinary tract infections, and sepsis among others. It is not effective for gonorrhea or chlamydia infections. It can be given intravenously, by intramuscular injection, or topically. Topical formulations may be used in burns or for infections of the outside of the eye. It is often only used for two days until bacterial cultures determine what specific antibiotics the infection is sensitive to. The dose required should be monitored by blood testing.Gentamicin can cause inner ear problems and kidney problems. The inner ear problems can include problems with balance and hearing loss. These problems may be permanent. If used during pregnancy, it can cause harm to the developing baby. However, it appears to be safe for use during breastfeeding. Gentamicin is a type of aminoglycoside. It works by disrupting the ability of the bacteria to make proteins, which typically kills the bacteria.Gentamicin is naturally produced by the bacterium Micromonospora purpurea, was patented in 1962, approved for medical use in 1964. The antibiotic is collected from the culture of the Micromonospora by perforating the cell wall of the bacterium. Current research is underway to understand the biosynthesis of this antibiotic in an attempt to increase expression and force secretion of gentamicin for higher titer. Gentamicin is on the World Health Organization's List of Essential Medicines. The World Health Organization classifies gentamicin as critically important for human medicine. It is available as a generic medication."
Metronidazole,https://en.wikipedia.org/wiki/Metronidazole,Metronidazole,"Metronidazole, sold under the brand name Flagyl among others, is an antibiotic and antiprotozoal medication. It is used either alone or with other antibiotics to treat pelvic inflammatory disease, endocarditis, and bacterial vaginosis. It is effective for dracunculiasis, giardiasis, trichomoniasis, and amebiasis. It is an option for a first episode of mild-to-moderate Clostridium difficile colitis if vancomycin or fidaxomicin is unavailable. Metronidazole is available orally (by mouth), as a cream or gel, and by slow intravenous infusion (injection into a vein).Common side effects include nausea, a metallic taste, loss of appetite, and headaches. Occasionally seizures or allergies to the medication may occur. Some state that metronidazole should not be used in early pregnancy, while others state doses for trichomoniasis are safe. Metronidazole is generally considered compatible with breastfeeding.Metronidazole began to be commercially used in 1960 in France. It is on the World Health Organization's List of Essential Medicines. It is available in most areas of the world. In 2020, it was the 222nd most commonly prescribed medication in the United States, with more than 2 million prescriptions."
Nitrofurantoin,https://en.wikipedia.org/wiki/Nitrofurantoin,Nitrofurantoin,"Nitrofurantoin is an antibacterial medication used to treat urinary tract infections, but it is not as effective for kidney infections. It is taken by mouth.Common side effects include nausea, loss of appetite, diarrhea, and headaches. Rarely numbness, lung problems, or liver problems may occur. It should not be used in people with kidney problems. While it appears to be generally safe during pregnancy it should not be used near delivery. While it usually works by slowing bacterial growth, it may result in bacterial death at the high concentrations found in urine.Nitrofurantoin was first sold in 1953. It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication. In 2020, it was the 167th most commonly prescribed medication in the United States, with more than 3 million prescriptions."
Phenoxymethylpenicillin,https://en.wikipedia.org/wiki/Phenoxymethylpenicillin,Phenoxymethylpenicillin,"Phenoxymethylpenicillin, also known as penicillin V (PcV) and penicillin VK, is an antibiotic useful for the treatment of a number of bacterial infections. Specifically it is used for the treatment of strep throat, otitis media, and cellulitis. It is also used to prevent rheumatic fever and to prevent infections following removal of the spleen. It is given by mouth.Side effects include diarrhea, nausea, and allergic reactions including anaphylaxis. It is not recommended in those with a history of penicillin allergy. It is relatively safe for use during pregnancy. It is in the penicillin and beta lactam family of medications. It usually results in bacterial death.Phenoxymethylpenicillin was first made in 1948 by Eli Lilly.: 121  It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication.  In 2020, it was the 319th most commonly prescribed medication in the United States, with more than 900 thousand prescriptions."
Procaine benzylpenicillin,https://en.wikipedia.org/wiki/Procaine_benzylpenicillin,Procaine_benzylpenicillin,"Procaine benzylpenicillin also known as penicillin G procaine, is an antibiotic useful for the treatment of a number of bacterial infections. Specifically it is used for syphilis, anthrax, mouth infections, pneumonia, diphtheria, cellulitis, and animal bites. It is given by injection into a muscle.Side effects include pain at the site of injection, blood clotting problems, seizures, and allergic reactions including anaphylaxis. When used to treat syphilis a reaction known as Jarisch-Herxheimer may occur. It is not recommended in those with a history of penicillin allergy or procaine allergy. Use during pregnancy and breastfeeding is relatively safe. Procaine benzylpenicillin is in the penicillin and beta lactam family of medications. It works via benzylpenicillin and results in bacterial death. Procaine makes the combination long acting.Procaine benzylpenicillin was introduced for medical use in 1948. It is on the World Health Organization's List of Essential Medicines."
Spectinomycin,https://en.wikipedia.org/wiki/Spectinomycin,Spectinomycin,"Spectinomycin, sold under the tradename Trobicin among others, is an antibiotic useful for the treatment of gonorrhea infections. It is given by injection into a muscle.Common side effects include pain at the area of injection, rash, nausea, fever, and trouble sleeping. Severe allergic reactions may occasionally occur. It is generally safe to use during pregnancy. It may be used by those who are allergic to penicillin or cephalosporins. It is in the aminocyclitol class of drugs and works by stopping the making of protein by certain bacteria.Spectinomycin was discovered in 1961. It is on the World Health Organization's List of Essential Medicines.  It is not available in the United States for human use. It is made from the bacterium Streptomyces spectabilis."
