drug_name,drug_page,name,content,len
Naltrexone,https://en.wikipedia.org/wiki/Naltrexone,Naltrexone,"Naltrexone, sold under the brand names Revia and Vivitrol among others, is a medication primarily used to manage alcohol use or opioid use disorder by reducing cravings and feelings of euphoria associated with substance use disorder. It has also been found effective in the treatment of other addictions and may be used for them off-label.",55
Clindamycin,https://en.wikipedia.org/wiki/Clindamycin,Clindamycin,"Clindamycin is an antibiotic medication used for the treatment of a number of bacterial infections, including osteomyelitis (bone) or joint infections, pelvic inflammatory disease, strep throat, pneumonia, acute otitis media (middle ear infections), and endocarditis. It can also be used to treat acne, and some cases of methicillin-resistant Staphylococcus aureus (MRSA). In combination with quinine,",55
Fludarabine,https://en.wikipedia.org/wiki/Fludarabine,Fludarabine,"Fludarabine is a purine analogue and antineoplastic agent. It is generally used as its 5-O-phosphorylated form known as fludarabine phosphate, sold under the brand name Fludara among others. It is a chemotherapy medication used in the treatment of leukemia and lymphoma. These include chronic lymphocytic leukemia, non-Hodgkin's lymphoma, acute myeloid leukemia, and acute lymphocytic leukemia.",55
Dimercaprol,https://en.wikipedia.org/wiki/Dimercaprol,Dimercaprol,"Dimercaprol, also called British anti-Lewisite (BAL), is a medication used to treat acute poisoning by arsenic, mercury, gold, and lead. It may also be used for antimony, thallium, or bismuth poisoning, although the evidence for those uses is not very strong. It is given by injection into a muscle.Common side effects include high blood pressure,",55
Paracetamol,https://en.wikipedia.org/wiki/Paracetamol,Paracetamol,"Paracetamol (acetaminophen or para-hydroxyacetanilide) is a non-opioid analgesic and antipyretic agent used to treat fever and mild to moderate pain. It is a widely used over the counter medication and common brand names include Tylenol and Panadol. At a standard dose, paracetamol only slightly decreases body temperature; it is inferior to ibuprofen in that respect,",55
Isoniazid/pyridoxine/sulfamethoxazole/trimethoprim,https://en.wikipedia.org/wiki/Isoniazid/pyridoxine/sulfamethoxazole/trimethoprim,Isoniazid/pyridoxine/sulfamethoxazole/trimethoprim,"Isoniazid/pyridoxine/sulfamethoxazole/trimethoprim (INH/B6/CTX) is a fixed-dose combination medication for the prevention of opportunistic infections in HIV/AIDS. It combines isoniazid, pyridoxine, sulfamethoxazole, and trimethoprim. Specifically it is used to prevent tuberculosis, toxoplasmosis, pneumonia, malaria, and isosporiasis. It is taken by mouth.Side effects may include trouble concentrating, numbness, vomiting, and rash. Serious side effects may include liver problems.",55
Artesunate/mefloquine,https://en.wikipedia.org/wiki/Artesunate/mefloquine,Artesunate/mefloquine,Artesunate/mefloquine is a medication used to treat malaria. It is a fixed dose combination of artesunate and mefloquine. Specifically it is recommended to treat uncomplicated falciparum malaria. It is taken by mouth.Side effects are similar to the medications being used separately. Use is recommended as it decreases the possibility of either medications being used alone.,55
Sodium nitroprusside,https://en.wikipedia.org/wiki/Sodium_nitroprusside,Sodium_nitroprusside,"Sodium nitroprusside (SNP), sold under the brand name Nitropress among others, is a medication used to lower blood pressure. This may be done if the blood pressure is very high and resulting in symptoms, in certain types of heart failure, and during surgery to decrease bleeding. It is used by continuous injection into a vein.",55
Ethambutol/isoniazid/pyrazinamide/rifampicin,https://en.wikipedia.org/wiki/Ethambutol/isoniazid/pyrazinamide/rifampicin,Ethambutol/isoniazid/pyrazinamide/rifampicin,"Ethambutol/isoniazid/pyrazinamide/rifampicin, also known as ethambutol/isoniazid/pyrazinamide/rifampin, is a medication used for tuberculosis. It is a fixed dose combination of ethambutol, isoniazid, pyrazinamide, and rifampicin. It is used either alone or with other antituberculosis medication. It is taken by mouth.Side effects are those of the underlying medications. Pyridoxine may be used to decrease the risk of numbness.",55
Artesunate/pyronaridine tetraphosphate,https://en.wikipedia.org/wiki/Artesunate/pyronaridine_tetraphosphate,Artesunate/pyronaridine_tetraphosphate,"Artesunate/pyronaridine, sold under the brand name Pyramax, is a fixed-dose combination medication for the treatment of malaria. It can be used for malaria of both the P. falciparum and P. vivax types. It combines artesunate and pyronaridine. It is taken by mouth.The combination is generally well tolerated. Side effects may include headache, vomiting, or cough.",55
Artesunate/amodiaquine,https://en.wikipedia.org/wiki/Artesunate/amodiaquine,Artesunate/amodiaquine,"Artesunate/amodiaquine, sold under the trade name Camoquin among others, is a medication used for the treatment of malaria. It is a fixed-dose combination of artesunate and amodiaquine. Specifically it recommended for acute uncomplicated Plasmodium falciparum malaria. It is taken by mouth.Common side effects include loss of appetite, nausea, abdominal pain, sleepiness, trouble sleeping, and cough.",55
Raltegravir,https://en.wikipedia.org/wiki/Raltegravir,Raltegravir,"Raltegravir, sold under the brand name Isentress, is an antiretroviral medication used, together with other medication, to treat HIV/AIDS. It may also be used, as part of post exposure prophylaxis, to prevent HIV infection following potential exposure. It is taken by mouth.Common side effects include trouble sleeping, feeling tired, nausea, high blood sugar, and headaches.",55
Spectinomycin,https://en.wikipedia.org/wiki/Spectinomycin,Spectinomycin,"Spectinomycin, sold under the tradename Trobicin among others, is an antibiotic useful for the treatment of gonorrhea infections. It is given by injection into a muscle.Common side effects include pain at the area of injection, rash, nausea, fever, and trouble sleeping. Severe allergic reactions may occasionally occur. It is generally safe to use during pregnancy.",55
Delamanid,https://en.wikipedia.org/wiki/Delamanid,Delamanid,"Delamanid, sold under the brand name Deltyba, is a medication used to treat tuberculosis. Specifically it is used, along with other antituberculosis medications, for active multidrug-resistant tuberculosis. It is taken by mouth.Common side effects include headache, dizziness, and nausea. Other side effects include QT prolongation. It has not been studied in pregnancy as of 2016.",55
carbidopa,https://en.wikipedia.org/wiki/Carbidopa,Carbidopa,"Carbidopa (Lodosyn) is a drug given to people with Parkinson's disease in order to inhibit peripheral metabolism of levodopa. This property is significant in that it allows a greater proportion of administered levodopa to cross the blood–brain barrier for central nervous system effect, instead of being peripherally metabolised into substances unable to cross said barrier.",55
atorvastatin,https://en.wikipedia.org/wiki/Atorvastatin,Atorvastatin,"Atorvastatin, sold under the brand name Lipitor among others, is a statin medication used to prevent cardiovascular disease in those at high risk and to treat abnormal lipid levels. For the prevention of cardiovascular disease, statins are a first-line treatment. It is taken by mouth.Common side effects include joint pain, diarrhea, heartburn, nausea, and muscle pains.",56
Lidocaine,https://en.wikipedia.org/wiki/Lidocaine,Lidocaine,"Lidocaine, also known as lignocaine and sold under the brand name Xylocaine among others, is a local anesthetic of the amino amide type. It is also used to treat ventricular tachycardia. When used for local anaesthesia or in nerve blocks, lidocaine typically begins working within several minutes and lasts for half an hour to three hours.",56
Dolutegravir,https://en.wikipedia.org/wiki/Dolutegravir,Dolutegravir,"Dolutegravir (DTG), sold under the brand name Tivicay, is an antiretroviral medication used, together with other medication, to treat HIV/AIDS. It may also be used, as part of post exposure prophylaxis, to prevent HIV infection following potential exposure. It is taken by mouth.Common side effects include trouble sleeping, feeling tired, diarrhea, high blood sugar, and headache.",56
Amlodipine,https://en.wikipedia.org/wiki/Amlodipine,Amlodipine,"Amlodipine, sold under the brand name Norvasc among others, is a calcium channel blocker medication used to treat high blood pressure, coronary artery disease (CAD) and variant angina (also called Prinzmetal angina or coronary artery vasospasm, among other names). It is taken orally (swallowed by mouth).Common side effects include swelling, feeling tired, abdominal pain, and nausea.",56
Sevoflurane,https://en.wikipedia.org/wiki/Sevoflurane,Sevoflurane,"Sevoflurane, sold under the brand name Sevorane, among others, is a sweet-smelling, nonflammable, highly fluorinated methyl isopropyl ether used as an inhalational anaesthetic for induction and maintenance of general anesthesia. After desflurane, it is the volatile anesthetic with the fastest onset. While its offset may be faster than agents other than desflurane in a few circumstances,",56
Phenobarbital,https://en.wikipedia.org/wiki/Phenobarbital,Phenobarbital,"Phenobarbital, also known as phenobarbitone or phenobarb, sold under the brand name Luminal among others, is a medication of the barbiturate type. It is recommended by the World Health Organization (WHO) for the treatment of certain types of epilepsy in developing countries. In the developed world, it is commonly used to treat seizures in young children,",56
Procaine benzylpenicillin,https://en.wikipedia.org/wiki/Procaine_benzylpenicillin,Procaine_benzylpenicillin,"Procaine benzylpenicillin also known as penicillin G procaine, is an antibiotic useful for the treatment of a number of bacterial infections. Specifically it is used for syphilis, anthrax, mouth infections, pneumonia, diphtheria, cellulitis, and animal bites. It is given by injection into a muscle.Side effects include pain at the site of injection, blood clotting problems, seizures,",56
Etoposide,https://en.wikipedia.org/wiki/Etoposide,Etoposide,"Etoposide, sold under the brand name Vepesid among others, is a chemotherapy medication used for the treatments of a number of types of cancer including testicular cancer, lung cancer, lymphoma, leukemia, neuroblastoma, and ovarian cancer. It is also used for hemophagocytic lymphohistiocytosis. It is used by mouth or injection into a vein.Side effects are very common.",56
Sodium nitrite,https://en.wikipedia.org/wiki/Sodium_nitrite_(medical_use),Sodium_nitrite_(medical_use),"Sodium nitrite is an inorganic compound with the chemical formula NaNO2. It is a white to slightly yellowish crystalline powder that is very soluble in water and is hygroscopic. From an industrial perspective, it is the most important nitrite salt. It is a precursor to a variety of organic compounds, such as pharmaceuticals, dyes, and pesticides,",56
Ephedrine,https://en.wikipedia.org/wiki/Ephedrine,Ephedrine,"Ephedrine is a central nervous system (CNS) stimulant that is often used to prevent low blood pressure during anesthesia. It has also been used for asthma, narcolepsy, and obesity but is not the preferred treatment. It is of unclear benefit in nasal congestion. It can be taken by mouth or by injection into a muscle, vein,",56
Benzathine benzylpenicillin,https://en.wikipedia.org/wiki/Benzathine_benzylpenicillin,Benzathine_benzylpenicillin,"Benzathine benzylpenicillin, also known as benzathine penicillin G, is an antibiotic medication useful for the treatment of a number of bacterial infections. Specifically it is used to treat strep throat, diphtheria, syphilis, and yaws. It is also used to prevent rheumatic fever. It is given by injection into a muscle.Side effects include allergic reactions including anaphylaxis,",56
Nifurtimox,https://en.wikipedia.org/wiki/Nifurtimox,Nifurtimox,"Nifurtimox, sold under the brand name Lampit, is a medication used to treat Chagas disease and sleeping sickness. For sleeping sickness it is used together with eflornithine in nifurtimox-eflornithine combination treatment. In Chagas disease it is a second-line option to benznidazole. It is given by mouth.Common side effects include abdominal pain, headache, nausea, and weight loss.",56
Gemcitabine,https://en.wikipedia.org/wiki/Gemcitabine,Gemcitabine,"Gemcitabine, sold under the brand name Gemzar, among others, is a chemotherapy medication used to treat cancers. It is used to treat testicular cancer, breast cancer, ovarian cancer, non-small cell lung cancer, pancreatic cancer, and bladder cancer. It is administered by intravenous infusion. It acts against neoplastic growth, and it inhibits the replication of Orthohepevirus A,",56
Sodium chloride,https://en.wikipedia.org/wiki/Saline_(medicine),Saline_(medicine),"Saline (also known as saline solution) is a mixture of sodium chloride (salt) and water. It has a number of uses in medicine including cleaning wounds, removal and storage of contact lenses, and help with dry eyes. By injection into a vein, it is used to treat dehydration such as that from gastroenteritis and diabetic ketoacidosis.",56
Ampicillin,https://en.wikipedia.org/wiki/Ampicillin,Ampicillin,"Ampicillin is an antibiotic belonging to the aminopenicillin class of the penicillin family. The drug is used to prevent and treat a number of bacterial infections, such as respiratory tract infections, urinary tract infections, meningitis, salmonellosis, and endocarditis. It may also be used to prevent group B streptococcal infection in newborns. It is used by mouth,",56
Magnesium sulfate,https://en.wikipedia.org/wiki/Magnesium_sulfate_(medical_use),Magnesium_sulfate_(medical_use),"Magnesium sulfate as a medication is used to treat and prevent low blood magnesium and seizures in women with eclampsia. It is also used in the treatment of torsades de pointes, severe asthma exacerbations, constipation, and barium poisoning. It is given by injection into a vein or muscle as well as by mouth. As epsom salts,",56
Coagulation factor IX,https://en.wikipedia.org/wiki/Factor_IX_complex,Factor_IX_complex,"Prothrombin complex concentrate (PCC), also known as factor IX complex, sold under the brand name Kcentra among others, is a combination medication made up of blood clotting factors II, IX, and X. Some versions also contain factor VII. It is used to treat and prevent bleeding in hemophilia B if pure factor IX is not available.",56
Paclitaxel,https://en.wikipedia.org/wiki/Paclitaxel,Paclitaxel,"Paclitaxel (PTX), sold under the brand name Taxol among others, is a chemotherapy medication used to treat ovarian cancer, esophageal cancer, breast cancer, lung cancer, Kaposi's sarcoma, cervical cancer, and pancreatic cancer. It is administered by intravenous injection. There is also an albumin-bound formulation.This compound also is used in cardiovascular drug-eluting stent technologies to inhibit restenosis.",56
epinephrine,https://en.wikipedia.org/wiki/Epinephrine_(medication),Epinephrine_(medication),"Epinephrine, also known as adrenaline, is a medication and hormone. As a medication, it is used to treat several conditions, including anaphylaxis, cardiac arrest, asthma, and superficial bleeding. Inhaled epinephrine may be used to improve the symptoms of croup. It may also be used for asthma when other treatments are not effective. It is given intravenously,",56
Meropenem,https://en.wikipedia.org/wiki/Meropenem,Meropenem,"Meropenem, sold under the brand name Merrem among others, is an intravenous β-lactam antibiotic used to treat a variety of bacterial infections. Some of these include meningitis, intra-abdominal infection, pneumonia, sepsis, and anthrax.Common side effects include nausea, diarrhea, constipation, headache, rash, and pain at the site of injection. Serious side effects include Clostridioides difficile infection, seizures,",56
Deferoxamine,https://en.wikipedia.org/wiki/Deferoxamine,Deferoxamine,"Deferoxamine (DFOA), also known as desferrioxamine and sold under the brand name Desferal, is a medication that binds iron and aluminium. It is specifically used in iron overdose, hemochromatosis either due to multiple blood transfusions or an underlying genetic condition, and aluminium toxicity in people on dialysis. It is used by injection into a muscle, vein,",56
Lenalidomide,https://en.wikipedia.org/wiki/Lenalidomide,Lenalidomide,"Lenalidomide, sold under the brand name Revlimid among others, is a medication used to treat multiple myeloma, smoldering myeloma, and myelodysplastic syndromes (MDS). For multiple myeloma, it is used after at least one other treatment and generally with dexamethasone. It is taken by mouth.Common side effects include diarrhea, itchiness, joint pain, fever, headache, and trouble sleeping.",56
Nicotine replacement therapy,https://en.wikipedia.org/wiki/Nicotine_replacement_therapy,Nicotine_replacement_therapy,Nicotine replacement therapy (NRT) is a medically approved way to treat people with tobacco use disorder by taking nicotine through means other than tobacco. It is used to help with quitting smoking or stopping chewing tobacco. It increases the chance of quitting tobacco smoking by about 55%. Often it is used along with other behavioral techniques.,56
Azithromycin,https://en.wikipedia.org/wiki/Azithromycin,Azithromycin,"Azithromycin, sold under the brand names Zithromax (in oral form) and Azasite (as an eye drop), is an antibiotic medication used for the treatment of a number of bacterial infections. This includes middle ear infections, strep throat, pneumonia, traveler's diarrhea, and certain other intestinal infections. Along with other medications, it may also be used for malaria.",56
Suxamethonium,https://en.wikipedia.org/wiki/Suxamethonium,Suxamethonium,"Suxamethonium chloride, also known as suxamethonium or succinylcholine, or simply sux by medical abbreviation, is a medication used to cause short-term paralysis as part of general anesthesia. This is done to help with tracheal intubation or electroconvulsive therapy. It is administered by injection, either into a vein or into a muscle. When used in a vein,",56
Sulfamethoxazole/trimethoprim,https://en.wikipedia.org/wiki/Sulfamethoxazole/trimethoprim,Sulfamethoxazole/trimethoprim,"Trimethoprim/sulfamethoxazole, sold under the brand name Bactrim among others, is a fixed-dose combination antibiotic medication used to treat a variety of bacterial infections. It consists of one part trimethoprim to five parts sulfamethoxazole. It is used to treat urinary tract infections, methicillin-resistant Staphylococcus aureus (MRSA) skin infections, travelers' diarrhea, respiratory tract infections, and cholera, among others.",56
Nystatin,https://en.wikipedia.org/wiki/Nystatin,Nystatin,"Nystatin, sold under the brandname Mycostatin among others, is an antifungal medication. It is used to treat Candida infections of the skin including diaper rash, thrush, esophageal candidiasis, and vaginal yeast infections. It may also be used to prevent candidiasis in those who are at high risk. Nystatin may be used by mouth, in the vagina,",56
Cisplatin,https://en.wikipedia.org/wiki/Cisplatin,Cisplatin,"Cisplatin is a chemotherapy medication used to treat a number of cancers. These include testicular cancer, ovarian cancer, cervical cancer, bladder cancer, head and neck cancer, esophageal cancer, lung cancer, mesothelioma, brain tumors and neuroblastoma. It is given by injection into a vein.Common side effects include bone marrow suppression, hearing problems, including total irreversible hearing loss,",56
Cabergoline,https://en.wikipedia.org/wiki/Cabergoline,Cabergoline,"Cabergoline, sold under the brand name Dostinex among others, is a dopaminergic medication used in the treatment of high prolactin levels, prolactinomas, Parkinson's disease, and for other indications. It is taken by mouth. Cabergoline is an ergot derivative and a potent dopamine D2 receptor agonist.Cabergoline was patented in 1980 and approved for medical use in 1993.",56
Vecuronium,https://en.wikipedia.org/wiki/Vecuronium,Vecuronium,"Vecuronium bromide, sold under the brand name Norcuron among others, is a medication used as part of general anesthesia to provide skeletal muscle relaxation during surgery or mechanical ventilation. It is also used to help with endotracheal intubation; however, agents such as suxamethonium (succinylcholine) or rocuronium are generally preferred if this needs to be done quickly.",56
Measles vaccine,https://en.wikipedia.org/wiki/Measles_vaccine,Measles_vaccine,"Measles vaccine protects against becoming infected with measles. Nearly all of those who do not develop immunity after a single dose develop it after a second dose. When rate of vaccination within a population is greater than 92%, outbreaks of measles typically no longer occur; however, they may occur again if the rate of vaccination decrease.",56
Chlorhexidine,https://en.wikipedia.org/wiki/Chlorhexidine,Chlorhexidine,"Chlorhexidine is a disinfectant and antiseptic with the molecular formula C22H30Cl2N10, which is used for skin disinfection before surgery and to sterilize surgical instruments. It is also used for cleaning wounds, preventing dental plaque, treating yeast infections of the mouth, and to keep urinary catheters from blocking. It is used as a liquid or a powder.",56
Coagulation factor VIII,https://en.wikipedia.org/wiki/Factor_VIII_(medication),Factor_VIII_(medication),"Factor VIII is a medication used to treat and prevent bleeding in people with hemophilia A and other causes of low factor VIII. Certain preparations may also be used in those with von Willebrand's disease. It is given by slow injection into a vein.Side effects include skin flushing, shortness of breath, fever, and red blood cell breakdown.",57
Levofloxacin,https://en.wikipedia.org/wiki/Levofloxacin,Levofloxacin,"Levofloxacin, sold under the brand name Levaquin among others, is an antibiotic medication. It is used to treat a number of bacterial infections including acute bacterial sinusitis, pneumonia, H. pylori (in combination with other medications), urinary tract infections, chronic prostatitis, and some types of gastroenteritis. Along with other antibiotics it may be used to treat tuberculosis, meningitis,",57
Abiraterone,https://en.wikipedia.org/wiki/Abiraterone,Abiraterone,"Abiraterone acetate, sold under the brand name Zytiga among others, is a medication used to treat prostate cancer. Specifically it is used together with a corticosteroid for metastatic castration-resistant prostate cancer (mCRPC) and metastatic high-risk castration-sensitive prostate cancer (mCSPC). It should either be used following removal of the testicles or along with a gonadotropin-releasing hormone (GnRH) analog.",57
Hydroxycarbamide,https://en.wikipedia.org/wiki/Hydroxycarbamide,Hydroxycarbamide,"Hydroxycarbamide, also known as hydroxyurea, is a medication used in sickle-cell disease, essential thrombocythemia, chronic myelogenous leukemia, polycythemia vera, and cervical cancer. In sickle-cell disease it increases fetal hemoglobin and decreases the number of attacks. It is taken by mouth.Common side effects include bone marrow suppression, fevers, loss of appetite, psychiatric problems, shortness of breath, and headaches.",57
Valganciclovir,https://en.wikipedia.org/wiki/Valganciclovir,Valganciclovir,"Valganciclovir, sold under the brand name Valcyte among others, is an antiviral medication used to treat cytomegalovirus (CMV) infection in those with HIV/AIDS or following organ transplant. It is often used long term as it only suppresses rather than cures the infection. Valganciclovir is taken by mouth.Common side effects include abdominal pain, headaches, trouble sleeping, nausea, fever,",57
Hepatitis B vaccine,https://en.wikipedia.org/wiki/Hepatitis_B_vaccine,Hepatitis_B_vaccine,"Hepatitis B vaccine is a vaccine that prevents hepatitis B. The first dose is recommended within 24 hours of birth with either two or three more doses given after that. This includes those with poor immune function such as from HIV/AIDS and those born premature. It is also recommended that health-care workers be vaccinated. In healthy people,",57
Vincristine,https://en.wikipedia.org/wiki/Vincristine,Vincristine,"Vincristine, also known as leurocristine and marketed under the brand name Oncovin among others, is a chemotherapy medication used to treat a number of types of cancer. This includes acute lymphocytic leukemia, acute myeloid leukemia, Hodgkin's disease, neuroblastoma, and small cell lung cancer among others. It is given intravenously.Most people experience some side effects from vincristine treatment.",57
Fludrocortisone,https://en.wikipedia.org/wiki/Fludrocortisone,Fludrocortisone,"Fludrocortisone, sold under the brand name Florinef, among others, is a corticosteroid used to treat adrenogenital syndrome, postural hypotension, and adrenal insufficiency. In adrenal insufficiency, it is generally taken together with hydrocortisone. Fludrocortisone is taken by mouth and is most commonly used in its acetate form.Common side effects of fludrocortisone include high blood pressure, swelling, heart failure,",57
Cholera vaccine,https://en.wikipedia.org/wiki/Cholera_vaccine,Cholera_vaccine,"A cholera vaccine is a vaccine that is effective at preventing cholera. For the first six months after vaccination it provides about 85 percent protection, which decreases to 50 percent or 62 percent during the first year. After two years the level of protection decreases to less than 50 percent. When enough of the population is immunized,",57
Natamycin,https://en.wikipedia.org/wiki/Natamycin,Natamycin,"Natamycin, also known as pimaricin, is an antifungal medication used to treat fungal infections around the eye. This includes infections of the eyelids, conjunctiva, and cornea. It is used as eyedrops. Natamycin is also used in the food industry as a preservative.Allergic reactions may occur. It is unclear if medical use during pregnancy or breastfeeding is safe.",57
Cloxacillin,https://en.wikipedia.org/wiki/Cloxacillin,Cloxacillin,"Cloxacillin is an antibiotic useful for the treatment of a number of bacterial infections. This includes impetigo, cellulitis, pneumonia, septic arthritis, and otitis externa. It is not effective for methicillin-resistant Staphylococcus aureus (MRSA). It can be used by mouth and by injection.Side effects include nausea, diarrhea, and allergic reactions including anaphylaxis. Clostridium difficile diarrhea may also occur.",57
piperaquine phosphate,https://en.wikipedia.org/wiki/Piperaquine_phosphate,Piperaquine_phosphate,"Piperaquine is an antiparasitic drug used in combination with dihydroartemisinin to treat malaria. Piperaquine was developed under the Chinese National Malaria Elimination Programme in the 1960s and was adopted throughout China as a replacement for the structurally similar antimalarial drug chloroquine. Due to widespread parasite resistance to piperaquine, the drug fell out of use as a monotherapy,",57
Risperidone,https://en.wikipedia.org/wiki/Risperidone,Risperidone,"Risperidone, sold under the brand name Risperdal among others, is an atypical antipsychotic used to treat schizophrenia and bipolar disorder. It is taken either by mouth or by injection (subcutaneous or intramuscular). The injectable versions are long-acting and last for 2–4 weeks.Common side effects include severe depression, movement problems, sleepiness, dizziness, trouble seeing, constipation, and increased weight.",57
Testosterone,https://en.wikipedia.org/wiki/Testosterone_(medication),Testosterone_(medication),"Testosterone (T) is a medication and naturally occurring steroid hormone. It is used to treat male hypogonadism, gender dysphoria, and certain types of breast cancer. It may also be used to increase athletic ability in the form of doping. It is unclear if the use of testosterone for low levels due to aging is beneficial or harmful.",57
Oxamniquine,https://en.wikipedia.org/wiki/Oxamniquine,Oxamniquine,"Oxamniquine, sold under the brand name Vansil among others, is a medication used to treat schistosomiasis due to Schistosoma mansoni. Praziquantel, however, is often the preferred treatment. It is given by mouth and used as a single dose.Common side effects include sleepiness, headache, nausea, diarrhea, and reddish urine. It is typically not recommended during pregnancy, if possible.",57
Atracurium,https://en.wikipedia.org/wiki/Atracurium,Atracurium,"Atracurium besilate, also known as atracurium besylate, is a medication used in addition to other medications to provide skeletal muscle relaxation during surgery or mechanical ventilation. It can also be used to help with endotracheal intubation but suxamethonium (succinylcholine) is generally preferred if this needs to be done quickly. It is given by injection into a vein.",57
Azathioprine,https://en.wikipedia.org/wiki/Azathioprine,Azathioprine,"Azathioprine, sold under the brand name Imuran, among others, is an immunosuppressive medication. It is used for the treatment of rheumatoid arthritis, granulomatosis with polyangiitis, Crohn's disease, ulcerative colitis, and systemic lupus erythematosus; and in kidney transplants to prevent rejection. It is listed by the International Agency for Research on Cancer as a group 1 human carcinogen.",57
Bupivacaine,https://en.wikipedia.org/wiki/Bupivacaine,Bupivacaine,"Bupivacaine, marketed under the brand name Marcaine among others, is a medication used to decrease feeling in a specific area. In nerve blocks, it is injected around a nerve that supplies the area, or into the spinal canal's epidural space. It is available mixed with a small amount of epinephrine to increase the duration of its action.",57
Clopidogrel,https://en.wikipedia.org/wiki/Clopidogrel,Clopidogrel,"Clopidogrel — sold under the brand name Plavix, among others — is an antiplatelet medication used to reduce the risk of heart disease and stroke in those at high risk. It is also used together with aspirin in heart attacks and following the placement of a coronary artery stent (dual antiplatelet therapy). It is taken by mouth.",57
Resin-based composite,https://en.wikipedia.org/wiki/Resin-based_composite,Resin-based_composite,"Dental composite resins (better referred to as ""resin-based composites"" or simply ""filled resins"") are dental cements made of synthetic resins. Synthetic resins evolved as restorative materials since they were insoluble, of good tooth-like appearance, insensitive to dehydration, easy to manipulate and inexpensive. Composite resins are most commonly composed of Bis-GMA and other dimethacrylate monomers (TEGMA, UDMA, HDDMA),",57
Cefuroxime,https://en.wikipedia.org/wiki/Cefuroxime,Cefuroxime,"Cefuroxime, sold under the brand name Zinacef among others, is a second-generation cephalosporin antibiotic used to treat and prevent a number of bacterial infections. These include pneumonia, meningitis, otitis media, sepsis, urinary tract infections, and Lyme disease. It is used by mouth or by injection into a vein or muscle.Common side effects include nausea, diarrhea, allergic reactions,",57
Doxorubicin,https://en.wikipedia.org/wiki/Doxorubicin,Doxorubicin,"Doxorubicin, sold under the brand name Adriamycin among others, is a chemotherapy medication used to treat cancer. This includes breast cancer, bladder cancer, Kaposi's sarcoma, lymphoma, and acute lymphocytic leukemia. It is often used together with other chemotherapy agents. Doxorubicin is given by injection into a vein.Common side effects include hair loss, bone marrow suppression, vomiting, rash,",57
Clarithromycin,https://en.wikipedia.org/wiki/Clarithromycin,Clarithromycin,"Clarithromycin, sold under the brand name Biaxin among others, is an antibiotic used to treat various bacterial infections. This includes strep throat, pneumonia, skin infections, H. pylori infection, and Lyme disease, among others. Clarithromycin can be taken by mouth as a pill or liquid.Common side effects include nausea, vomiting, headaches, and diarrhea. Severe allergic reactions are rare.",57
Calcipotriol,https://en.wikipedia.org/wiki/Calcipotriol,Calcipotriol,"Calcipotriol, also known as calcipotriene, is a synthetic derivative of calcitriol, a form of vitamin D. It is used in the treatment of psoriasis. It is safe for long-term application in psoriatic skin conditions.It was patented in 1985 and approved for medical use in 1991. It is marketed under the trade name ""Dovonex"" in the United States,",57
Rasburicase,https://en.wikipedia.org/wiki/Rasburicase,Rasburicase,"Rasburicase (trade names Elitek in the US and Fasturtec in the EU) is a medication that helps to clear uric acid from the blood. It is a recombinant version of urate oxidase, an enzyme that metabolizes uric acid to allantoin. Urate oxidase is known to be present in many mammals but does not naturally occur in humans.",57
Nicotinamide,https://en.wikipedia.org/wiki/Nicotinamide,Nicotinamide,"Niacinamide or nicotinamide is a form of vitamin B3 found in food and used as a dietary supplement and medication. As a supplement, it is used by mouth to prevent and treat pellagra (niacin deficiency). While nicotinic acid (niacin) may be used for this purpose, niacinamide has the benefit of not causing skin flushing. As a cream,",57
Tacrolimus,https://en.wikipedia.org/wiki/Tacrolimus,Tacrolimus,"Tacrolimus, sold under the brand name Prograf among others, is an immunosuppressive drug. After allogenic organ transplant, the risk of organ rejection is moderate. To lower the risk of organ rejection, tacrolimus is given. The drug can also be sold as a topical medication in the treatment of T-cell-mediated diseases such as eczema and psoriasis. For example,",57
Retinol,https://en.wikipedia.org/wiki/Retinol,Retinol,"Retinol, also called vitamin A1, is a fat-soluble vitamin in the vitamin A family that is found in food and used as a dietary supplement. Retinol or other forms of vitamin A are needed for vision, cellular development, maintenance of skin and mucous membranes, immune function and reproductive development. Dietary sources include fish, dairy products, and meat.",57
Voriconazole,https://en.wikipedia.org/wiki/Voriconazole,Voriconazole,"Voriconazole, sold under the brand name Vfend among others, is an antifungal medication used to treat a number of fungal infections. This includes aspergillosis, candidiasis, coccidioidomycosis, histoplasmosis, penicilliosis, and infections by Scedosporium or Fusarium. It can be taken by mouth or used by injection into a vein.Common side effects include vision problems, nausea, abdominal pain, rash, headache,",57
Artesunate,https://en.wikipedia.org/wiki/Artesunate,Artesunate,"Artesunate (AS) is a medication used to treat malaria. The intravenous form is preferred to quinine for severe malaria. Often it is used as part of combination therapy, such as artesunate plus mefloquine. It is not used for the prevention of malaria. Artesunate can be given by injection into a vein, injection into a muscle, by mouth,",57
Salbutamol,https://en.wikipedia.org/wiki/Salbutamol,Salbutamol,"Salbutamol, also known as albuterol and sold under the brand name Ventolin among others, is a medication that opens up the medium and large airways in the lungs. It is a short-acting β2 adrenergic receptor agonist which works by causing relaxation of airway smooth muscle. It is used to treat asthma, including asthma attacks and exercise-induced bronchoconstriction,",57
